ID	adj.P.Val	P.Value	t	B	logFC	ORF
cusF	0.00171	3.82e-07	-1.46e+01	6.6542	-7.25e-01	cusF
cueO	0.00659	6.06e-06	-1.02e+01	4.4488	-4.48e-01	cueO
copA	0.00659	6.95e-06	-1.00e+01	4.3293	-6.67e-01	copA
cusC	0.00659	7.10e-06	-1.00e+01	4.3112	-7.90e-01	cusC
glgA	0.00659	7.37e-06	9.97	4.2782	2.07e-01	glgA
ybfN	0.00736	1.21e-05	-9.34	3.8381	-1.37e-01	ybfN
poxA	0.00736	1.26e-05	9.28	3.7984	1.46e-01	poxA
slyD	0.00736	1.45e-05	-9.11	3.6747	-1.42e-01	slyD
proX	0.00736	1.60e-05	-9.00	3.5887	-1.68e-01	proX
glgC	0.00736	1.65e-05	8.96	3.5601	2.49e-01	glgC
ynfH	0.00799	1.97e-05	8.75	3.3983	2.51e-01	ynfH
yobF	0.00854	2.39e-05	-8.53	3.219	-1.65e-01	yobF
hisQ	0.00854	2.48e-05	8.48	3.1826	1.45e-01	hisQ
rihC	0.00907	2.84e-05	8.33	3.058	1.84e-01	rihC
yhbT	0.01329	4.46e-05	-7.83	2.636	-1.25e-01	yhbT
yaaH	0.01344	4.81e-05	7.75	2.5648	1.37e-01	yaaH
miaA	0.01617	6.90e-05	7.38	2.2216	1.25e-01	miaA
fhuF	0.01617	7.23e-05	7.33	2.1773	3.36e-01	fhuF
yliF	0.01617	7.25e-05	7.33	2.1747	2.74e-01	yliF
ydjI	0.01617	7.57e-05	7.28	2.1332	1.90e-01	ydjI
narK	0.01617	7.60e-05	-7.28	2.1298	-1.80e-01	narK
rbbA	0.02097	1.03e-04	6.98	1.8346	1.71e-01	rbbA
hisM	0.02117	1.11e-04	6.90	1.7626	1.65e-01	hisM
arcA	0.02117	1.14e-04	-6.88	1.7412	-1.21e-01	arcA
ydjY	0.02196	1.23e-04	-6.80	1.6639	-2.23e-01	ydjY
ileU	0.02196	1.35e-04	6.72	1.5767	1.14e-01	ileU
glnG	0.02196	1.43e-04	6.66	1.5204	3.53e-01	glnG
ygiP	0.02196	1.45e-04	-6.65	1.5048	-1.85e-01	ygiP
alaV	0.02196	1.46e-04	6.64	1.4959	1.16e-01	alaV
ygjO	0.02196	1.47e-04	6.63	1.4889	1.23e-01	ygjO
lpd	0.02219	1.54e-04	-6.59	1.4467	-1.49e-01	lpd
lacY	0.02285	1.65e-04	6.53	1.3793	1.77e-01	lacY
fnr	0.02285	1.69e-04	6.51	1.3568	1.16e-01	fnr
yafE	0.02307	1.80e-04	-6.45	1.2959	-1.11e-01	yafE
ompX	0.02307	1.81e-04	-6.44	1.2898	-1.06e-01	ompX
ileV	0.02406	1.99e-04	6.35	1.1933	1.02e-01	ileV
glgP	0.02406	2.04e-04	6.33	1.1698	1.26e-01	glgP
ynfG	0.02406	2.05e-04	6.33	1.1681	2.27e-01	ynfG
yheV	0.02518	2.20e-04	-6.26	1.0979	-1.52e-01	yheV
hdfR	0.02536	2.34e-04	-6.21	1.0361	-8.94e-02	hdfR
citE	0.02536	2.35e-04	-6.20	1.0322	-1.67e-01	citE
yjjP	0.02536	2.42e-04	-6.18	1.0041	-1.75e-01	yjjP
yliE	0.02536	2.44e-04	6.17	0.9947	2.87e-01	yliE
rsxC	0.02536	2.63e-04	6.10	0.9213	8.71e-02	rsxC
ycfZ	0.02536	2.70e-04	6.08	0.8938	1.72e-01	ycfZ
cusB	0.02536	2.72e-04	-6.07	0.888	-3.56e-01	cusB
yhdV	0.02536	2.79e-04	-6.05	0.862	-1.13e-01	yhdV
napB	0.02536	2.81e-04	6.04	0.8563	1.41e-01	napB
tbpA	0.02536	2.83e-04	6.04	0.8472	1.27e-01	tbpA
ycfJ	0.02536	2.84e-04	-6.03	0.8459	-2.44e-01	ycfJ
ydjH	0.02566	2.94e-04	6.00	0.8108	1.25e-01	ydjH
dnaJ	0.02566	3.06e-04	5.97	0.7717	1.30e-01	dnaJ
ycdN_2	0.02566	3.08e-04	5.96	0.7662	2.50e-01	ycdN_2
yadD	0.02566	3.19e-04	-5.93	0.73	-1.41e-01	yadD
srlD	0.02566	3.22e-04	5.92	0.7209	2.19e-01	srlD
asnA	0.02566	3.29e-04	-5.91	0.7005	-2.26e-01	asnA
glcD	0.02566	3.32e-04	-5.90	0.6912	-3.20e-01	glcD
ybiP	0.02566	3.34e-04	5.89	0.6849	1.85e-01	ybiP
yciN	0.02566	3.39e-04	-5.88	0.6703	-8.58e-02	yciN
marA	0.0261	3.54e-04	5.84	0.6273	1.06e-01	marA
yncE	0.0261	3.56e-04	5.84	0.6206	1.85e-01	yncE
yrdA	0.02758	3.85e-04	-5.77	0.5432	-1.36e-01	yrdA
betA	0.02758	3.92e-04	-5.75	0.5248	-2.08e-01	betA
aroM	0.02758	3.95e-04	5.75	0.5181	1.21e-01	aroM
ytfG	0.0277	4.03e-04	-5.73	0.4983	-8.65e-02	ytfG
artQ	0.028	4.14e-04	5.71	0.4724	1.32e-01	artQ
cmr	0.02814	4.22e-04	5.69	0.4528	1.53e-01	cmr
ydeQ	0.02879	4.38e-04	5.66	0.415	2.05e-01	ydeQ
fpr	0.02958	4.58e-04	-5.62	0.3698	-8.84e-02	fpr
ygcK	0.02958	4.63e-04	5.61	0.3592	8.28e-02	ygcK
pheP	0.03053	4.85e-04	5.57	0.3136	1.42e-01	pheP
idnO	0.03083	4.97e-04	5.55	0.2899	1.08e-01	idnO
trxA	0.03115	5.09e-04	-5.53	0.266	-8.59e-02	trxA
yfgH	0.03133	5.19e-04	-5.52	0.2467	-1.13e-01	yfgH
yqgE	0.03166	5.31e-04	-5.50	0.2228	-9.61e-02	yqgE
ynfF	0.03249	5.53e-04	5.46	0.1838	2.26e-01	ynfF
yfeT	0.03253	5.69e-04	-5.44	0.155	-1.58e-01	yfeT
yaeJ	0.03253	5.71e-04	-5.44	0.1516	-1.09e-01	yaeJ
fepE	0.03253	5.79e-04	5.43	0.1367	2.25e-01	fepE
fadL	0.03253	5.82e-04	5.42	0.1313	1.59e-01	fadL
frmA	0.03401	6.23e-04	5.37	0.0644	1.00e-01	frmA
glgX	0.03401	6.24e-04	5.36	0.0623	2.10e-01	glgX
sdiA	0.03421	6.35e-04	-5.35	0.044	-9.12e-02	sdiA
argY	0.03442	6.47e-04	5.33	0.026	9.24e-02	argY
napF	0.03443	6.55e-04	-5.32	0.0139	-9.63e-02	napF
ygdR	0.0351	7.00e-04	-5.27	-0.0524	-1.41e-01	ygdR
ymbA	0.0351	7.05e-04	-5.27	-0.0593	-1.15e-01	ymbA
yedP	0.0351	7.07e-04	-5.26	-0.0634	-1.04e-01	yedP
yeiU	0.0351	7.24e-04	5.24	-0.0863	1.30e-01	yeiU
smg	0.0351	7.24e-04	-5.24	-0.0871	-9.88e-02	smg
ybiA	0.0351	7.28e-04	-5.24	-0.0918	-1.00e-01	ybiA
ileT	0.0351	7.36e-04	5.23	-0.1033	9.99e-02	ileT
ynfK	0.0351	7.39e-04	-5.23	-0.1065	-2.63e-01	ynfK
valW	0.0351	7.40e-04	5.23	-0.1086	1.53e-01	valW
nuoE	0.0351	7.58e-04	-5.21	-0.1332	-1.10e-01	nuoE
narX	0.0351	7.60e-04	-5.20	-0.1356	-9.86e-02	narX
yecA	0.0351	7.66e-04	-5.20	-0.1436	-1.38e-01	yecA
yjbR	0.0351	7.70e-04	-5.19	-0.1478	-1.51e-01	yjbR
trpA	0.036	7.98e-04	5.17	-0.1836	1.27e-01	trpA
hisP	0.03622	8.10e-04	5.15	-0.1997	1.41e-01	hisP
glnL	0.03663	8.33e-04	5.13	-0.2278	3.35e-01	glnL
glnA	0.03663	8.38e-04	5.13	-0.2333	2.36e-01	glnA
srlB	0.03663	8.51e-04	5.11	-0.2487	3.62e-01	srlB
cspC	0.03663	8.52e-04	-5.11	-0.2504	-1.59e-01	cspC
asnB	0.03735	8.91e-04	-5.08	-0.2953	-9.08e-02	asnB
hypA	0.03735	8.93e-04	-5.08	-0.2969	-1.41e-01	hypA
ymgH	0.03735	8.94e-04	-5.07	-0.2983	-1.59e-01	ymgH
yniC	0.03776	9.19e-04	5.05	-0.3255	8.17e-02	yniC
ydeO	0.03776	9.23e-04	5.05	-0.3299	1.48e-01	ydeO
artP	0.03776	9.29e-04	5.04	-0.3372	9.84e-02	artP
gspJ	0.0391	9.73e-04	-5.01	-0.3837	-1.23e-01	gspJ
ydcH	0.0391	9.84e-04	5.00	-0.3946	2.29e-01	ydcH
ybgI	0.0391	9.89e-04	-4.99	-0.3993	-7.30e-02	ybgI
malQ	0.04055	1.04e-03	4.95	-0.4517	1.35e-01	malQ
nrdD	0.04055	1.04e-03	-4.95	-0.4536	-1.57e-01	nrdD
ydjX	0.04085	1.06e-03	-4.94	-0.4697	-1.45e-01	ydjX
yebU	0.04152	1.09e-03	4.92	-0.4982	1.09e-01	yebU
exbB	0.04152	1.10e-03	4.91	-0.5032	1.29e-01	exbB
yhiL	0.0442	1.18e-03	4.86	-0.577	1.18e-01	yhiL
rplQ	0.0442	1.20e-03	-4.85	-0.5905	-9.94e-02	rplQ
yciI	0.0442	1.20e-03	-4.84	-0.5936	-8.30e-02	yciI
yaiE	0.0442	1.22e-03	-4.83	-0.614	-9.45e-02	yaiE
yehC	0.0442	1.23e-03	-4.83	-0.6175	-2.37e-01	yehC
exbD	0.0442	1.24e-03	4.82	-0.624	1.33e-01	exbD
aroD	0.0442	1.24e-03	-4.82	-0.6253	-6.46e-02	aroD
ccmD	0.0442	1.25e-03	4.81	-0.6339	1.09e-01	ccmD
yhiN	0.0442	1.26e-03	4.81	-0.6401	1.13e-01	yhiN
zupT	0.04457	1.29e-03	-4.79	-0.6683	-1.03e-01	zupT
tyrP	0.04457	1.30e-03	4.78	-0.6756	1.50e-01	tyrP
nrdG	0.04457	1.31e-03	-4.78	-0.6788	-1.05e-01	nrdG
rsxA	0.04457	1.31e-03	4.78	-0.6814	1.11e-01	rsxA
tyrA	0.04457	1.33e-03	4.77	-0.6958	1.15e-01	tyrA
yfgI	0.04457	1.34e-03	-4.76	-0.7037	-8.63e-02	yfgI
tyrV	0.04457	1.35e-03	4.75	-0.7132	9.44e-02	tyrV
yfcZ	0.04457	1.35e-03	-4.75	-0.7161	-1.17e-01	yfcZ
rpsQ	0.04457	1.36e-03	-4.75	-0.7176	-9.92e-02	rpsQ
gpmA	0.04477	1.37e-03	-4.74	-0.7294	-1.40e-01	gpmA
yqiA	0.04568	1.42e-03	4.71	-0.7653	9.35e-02	yqiA
rtT	0.04568	1.43e-03	4.71	-0.7705	1.07e-01	rtT
yqfE	0.04568	1.44e-03	-4.71	-0.7766	-9.63e-02	yqfE
yfdZ	0.04568	1.45e-03	-4.70	-0.7853	-1.00e-01	yfdZ
pspD	0.04568	1.46e-03	-4.69	-0.7918	-6.39e-02	pspD
dnaN	0.04568	1.47e-03	4.69	-0.7972	8.66e-02	dnaN
cydA	0.04568	1.48e-03	4.68	-0.8044	1.29e-01	cydA
qor	0.04568	1.49e-03	-4.68	-0.8135	-1.19e-01	qor
csrC	0.04568	1.49e-03	-4.68	-0.8151	-1.53e-01	csrC
alaU	0.04568	1.50e-03	4.67	-0.8207	1.16e-01	alaU
birA	0.0462	1.54e-03	-4.65	-0.8441	-6.70e-02	birA
ypaA	0.0462	1.54e-03	-4.65	-0.8456	-7.88e-02	ypaA
yicC	0.0466	1.56e-03	-4.64	-0.8611	-6.89e-02	yicC
ydeT	0.0466	1.57e-03	4.64	-0.8681	2.13e-01	ydeT
focA	0.0466	1.60e-03	-4.63	-0.8823	-2.03e-01	focA
glnV	0.0466	1.61e-03	4.62	-0.8877	1.93e-01	glnV
yhbV	0.0466	1.61e-03	-4.62	-0.8878	-1.33e-01	yhbV
napC	0.0473	1.64e-03	4.60	-0.9105	1.10e-01	napC
glnU	0.0473	1.65e-03	4.60	-0.9159	1.48e-01	glnU
rpoS	0.04797	1.69e-03	-4.59	-0.9364	-8.41e-02	rpoS
rpsG	0.04936	1.75e-03	4.56	-0.9716	7.23e-02	rpsG
yfgF	0.04973	1.77e-03	-4.55	-0.9856	-9.41e-02	yfgF
htpG	0.05147	1.84e-03	4.52	-1.0278	9.61e-02	htpG
ryeD	0.05147	1.85e-03	-4.51	-1.0328	-1.30e-01	ryeD
asr	0.05221	1.89e-03	-4.50	-1.0544	-1.18e-01	asr
msrA	0.05221	1.90e-03	-4.49	-1.0598	-1.02e-01	msrA
glnX	0.05237	1.92e-03	4.49	-1.069	1.76e-01	glnX
ygjF	0.05255	1.94e-03	-4.48	-1.0785	-8.06e-02	ygjF
ttk	0.05286	1.97e-03	4.47	-1.0918	9.91e-02	ttk
glyT	0.05286	1.98e-03	4.47	-1.0968	7.61e-02	glyT
pntA	0.05306	1.99e-03	4.46	-1.1065	7.31e-02	pntA
artM	0.05332	2.03e-03	4.45	-1.1237	1.28e-01	artM
treF	0.05332	2.04e-03	-4.44	-1.1281	-1.37e-01	treF
rplS	0.05332	2.04e-03	-4.44	-1.1294	-1.24e-01	rplS
artJ	0.05341	2.06e-03	4.44	-1.137	1.98e-01	artJ
fkpA	0.05361	2.08e-03	-4.43	-1.1465	-1.21e-01	fkpA
nuoF	0.05406	2.10e-03	-4.42	-1.1609	-9.25e-02	nuoF
tsx	0.05428	2.13e-03	4.41	-1.1708	7.13e-02	tsx
tpx	0.05433	2.14e-03	-4.41	-1.1775	-7.06e-02	tpx
lldD	0.05521	2.19e-03	-4.39	-1.201	-1.70e-01	lldD
ccmG	0.05521	2.20e-03	4.39	-1.205	1.26e-01	ccmG
glpA	0.05565	2.24e-03	-4.37	-1.2243	-1.80e-01	glpA
lysY	0.05565	2.24e-03	4.37	-1.2244	9.97e-02	lysY
citG	0.05586	2.26e-03	-4.37	-1.2338	-1.69e-01	citG
yedA	0.05676	2.31e-03	-4.35	-1.2554	-1.05e-01	yedA
polA	0.0568	2.33e-03	-4.34	-1.2648	-6.60e-02	polA
yaeP	0.0568	2.34e-03	-4.34	-1.2673	-8.95e-02	yaeP
yecP	0.05764	2.39e-03	4.33	-1.2876	5.76e-02	yecP
ygcJ	0.05866	2.44e-03	4.31	-1.3108	8.18e-02	ygcJ
ygjG	0.05891	2.47e-03	-4.30	-1.3204	-2.23e-01	ygjG
cybC	0.05896	2.48e-03	-4.30	-1.3267	-8.96e-02	cybC
yqjI	0.05922	2.50e-03	4.29	-1.3367	1.01e-01	yqjI
ssuC	0.05922	2.52e-03	-4.29	-1.3418	-1.31e-01	ssuC
ygiN	0.05935	2.54e-03	-4.28	-1.3521	-7.49e-02	ygiN
marB	0.05935	2.55e-03	4.28	-1.3547	1.09e-01	marB
malP	0.05943	2.58e-03	4.27	-1.3657	1.49e-01	malP
yojI	0.05943	2.58e-03	4.27	-1.3664	3.23e-01	yojI
lpcA	0.06049	2.64e-03	-4.25	-1.3895	-6.71e-02	lpcA
agaA	0.06051	2.65e-03	4.25	-1.3951	1.30e-01	agaA
ycdN	0.06051	2.68e-03	4.24	-1.4038	3.36e-01	ycdN
rplP	0.06051	2.68e-03	-4.24	-1.4052	-6.41e-02	rplP
nrfA	0.06119	2.72e-03	4.23	-1.4217	1.36e-01	nrfA
alaT	0.06134	2.75e-03	4.22	-1.4314	1.03e-01	alaT
speD	0.06134	2.76e-03	4.22	-1.4342	9.51e-02	speD
smpA	0.06156	2.80e-03	-4.21	-1.4475	-8.58e-02	smpA
cysM	0.06156	2.80e-03	-4.21	-1.4492	-7.77e-02	cysM
poxB	0.06156	2.81e-03	-4.21	-1.4528	-1.01e-01	poxB
pdhR	0.06268	2.88e-03	4.19	-1.476	9.81e-02	pdhR
ygeH	0.06311	2.91e-03	4.18	-1.4878	1.55e-01	ygeH
yejM	0.06326	2.93e-03	4.18	-1.4951	8.68e-02	yejM
yehA	0.06347	2.97e-03	4.17	-1.5094	2.31e-01	yehA
idnK	0.06347	2.97e-03	4.17	-1.5097	1.04e-01	idnK
ilvH	0.06347	3.01e-03	-4.16	-1.5227	-7.18e-02	ilvH
nirC	0.06347	3.02e-03	4.16	-1.5253	2.98e-01	nirC
ycdO	0.06347	3.03e-03	4.16	-1.5277	1.54e-01	ycdO
hisJ	0.06347	3.04e-03	4.15	-1.5329	1.24e-01	hisJ
groL	0.06347	3.04e-03	4.15	-1.5338	1.16e-01	groL
gcd	0.06347	3.05e-03	-4.15	-1.5368	-2.50e-01	gcd
yohN	0.06362	3.07e-03	-4.14	-1.5438	-8.46e-02	yohN
ydhY	0.06418	3.12e-03	-4.13	-1.5574	-2.86e-01	ydhY
ccmE	0.06428	3.14e-03	4.13	-1.5635	8.48e-02	ccmE
sodC	0.06467	3.18e-03	-4.12	-1.5773	-1.18e-01	sodC
