Gene.symbol	logFC
STAR	4.75009187
DIRAS3	4.57516036
C7	4.47379096
TMEM255A	4.21335582
CFH	4.15884458
C3	4.06155954
JCHAIN	4.02944365
CSTA	3.97640759
PLA2G2A	3.94103249
VCAM1	3.89083273
SCN7A	3.69266791
HSD11B1	3.6070787
HOXC6	3.50494944
WISP2	3.36296541
KCNT2	3.33968095
TCF21	3.241026015
ZFPM2	3.1586276
RCAN2	3.14938541
DLK1	3.111411585
MYOCD	3.02826402
TCEAL2	3.02751357
PEG3	2.9975800550000002
AOX1	2.97086398
PLCXD3	2.96036072
FIBIN	2.946353425
ADIRF	2.92893778
PROK1	2.92519135
NEXN	2.918249015
PROS1	2.91219021
COL10A1	2.889155885
SIGLEC11	2.8853834
GPX3	2.88415404
FZD7	2.87370696
RNASE4	2.837374315
ABCA6	2.83316861
LY96	2.82571673
TGFBR3	2.81367142
MGARP	2.79347759
BST2	2.79004161
ITM2A	2.789742815
CDH3	2.78816566
TSPAN8	2.78033138
PRKAR2B	2.77008486
DPYSL3	2.753493833333333
CHL1	2.7285989550000003
AEBP1	2.72186285
PLN	2.6753213833333334
SGCE	2.67309556
DHRS2	2.64893996
PLSCR4	2.62273819
COLEC11	2.58168204
PRSS35	2.57817375
KLHDC8A	2.5716696900000002
ARX	2.516346715
PRELP	2.5073107633333334
FMO1	2.50495688
ENPP6	2.49651527
SLC16A4	2.47587532
RARRES1	2.4665735333333334
GATA6	2.43886876
SERPING1	2.42882851
PNOC	2.42232818
THBS2	2.40520737
SERPINA3	2.40096594
HS6ST2	2.3907452166666667
PDLIM3	2.38454114
MGC24103	2.37459378
PTGIS	2.351969
RGS2	2.34995077
FLRT3	2.34455164
CLDN11	2.3403161966666666
TIMP1	2.338139
SERPINE2	2.3329538
FHL2	2.325216
BNC2	2.2767448483333332
FAM19A2	2.2726452
LTBP2	2.2709263899999996
INMT	2.25810381
PEG3-AS1	2.24083474
MRC1	2.2299912
NRK	2.229871075
FLJ35700	2.22880554
MYH11	2.224224885714286
TAGLN	2.218552
C1R	2.21034198
CPVL	2.20845252
CCDC80	2.20559248
RERGL	2.19808211
CCDC3	2.19558268
FMO2	2.166017655
CCL2	2.16359253
PTPRZ1	2.14723654
LXN	2.14431111
ADH1B	2.1277591024999998
AOC3	2.11273404
RERG	2.0975843000000003
PBX3	2.08429141
SDPR	2.06205157
MAP3K5	2.057403325
WNT2B	2.03659533
SCG2	2.03559885
TNFSF13B	2.0338195150000002
RASGRF2	2.031611125
NID2	2.02234089
ITPR1	2.011939516
HERC5	1.99278695
LYVE1	1.98831296
CHI3L1	1.9863193533333332
CEBPD	1.9826124099999998
UBXN8	1.98134799
AKAP12	1.979697266
MSC-AS1	1.97014456
C1S	1.967298525
C2orf40	1.95704632
ZNF521	1.938336435
FGF7P3	1.93723738
PEG10	1.91906485
LRRC2	1.91481927
MN1	1.91220097
COL8A1	1.9107089033333333
NUAK1	1.90731298
FCGR2B	1.89875601
KCTD12	1.897387825
STEAP2	1.89686957
CFD	1.89404452
CYP11A1	1.89046398
COL16A1	1.8832546
FGL2	1.88206824
PDGFD	1.880101075
HMOX1	1.8781555
TMEM47	1.877007945
G0S2	1.86971233
AMIGO2	1.86757765
AQP11	1.86404478
C10orf10	1.863784575
GIMAP7	1.85421497
NFASC	1.84404621
FAM129A	1.8412055
GPNMB	1.838785775
OMD	1.8272068350000001
EFEMP1	1.8258813466666668
VLDLR	1.82028605
HMCN1	1.81470807
HTRA1	1.81359214
FXYD6	1.81264156
ANG	1.81034054
PTX3	1.80921123
CPE	1.799315295
SYTL2	1.7932571066666667
NR4A2	1.7890499800000002
ANGPTL1	1.78724734
MEIS2	1.7839991
THBS4	1.77945997
FIGN	1.7770453050000001
SELE	1.77668409
WISP1	1.7723994024999998
CTHRC1	1.77116526
RARRES2	1.77116019
CNN1	1.76600337
TMEM176A	1.76398958
CPXM2	1.7490741533333334
PON3	1.74828591
ABLIM1	1.748237505
ACTG2	1.7420522550000002
COMP	1.73391164
NR3C2	1.73384603
PDK4	1.73284197
PDGFRL	1.72860027
SLC46A3	1.72654216
GPC6	1.722212045
SFRP2	1.721607675
DAPK1-IT1	1.720718
MKX	1.7192339366666667
OPTN	1.718931355
NBL1	1.71776758
LMOD1	1.71033484
IRS2	1.708126625
MAMDC2	1.70593927
PAPSS2	1.70550584
BICC1	1.702238545
MUM1L1	1.69387865
CCDC69	1.69028143
SLC16A9	1.6872837
WIPF3	1.6748904150000001
KLF2	1.66900319
BGN	1.6635795199999999
CYBRD1	1.659825315
TCEAL4	1.65290055
SH3BP5	1.64881857
GALNT15	1.6480692
ADM	1.64799749
PHACTR3	1.64540225
INHBA	1.6442990066666667
CCL8	1.64210311
LAMP5	1.63998094
PLA2G5	1.6374415633333335
CLDN5	1.63685478
FABP4	1.636791675
TMEM100	1.63315672
GPAT3	1.61500464
IGKV1OR2-108	1.61298909
CALD1	1.6061888563636364
AQP1	1.59965508
FNDC1	1.59007261
MNDA	1.5870823
CRIM1	1.57922656
CMYA5	1.57423307
S100A10	1.57310017
THBS1	1.5723924871428572
RAB9B	1.57211413
ABCA9	1.56594237
NEURL1B	1.56468849
OLFML1	1.56432637
ADAMTS1	1.563922495
TMEM176B	1.55808849
PLOD2	1.55754042
F8	1.55559468
ZNF275	1.55421888
CD163	1.5536713566666667
TMEM150C	1.55239105
KCND2	1.54794075
CCL21	1.5475963
ENOX1	1.54749108
HLF	1.54712294
HP	1.54659751
LHFP	1.54565274
FOXC1	1.542008825
CLU	1.539779835
SYNC	1.53580141
MSRB3	1.528398784
GPRASP1	1.52549888
ECM2	1.52455089
ABCA8	1.52212154
HS3ST3A1	1.51628156
TENM4	1.51592381
SIGLEC16	1.51363481
GBP2	1.507863465
IGDCC4	1.50364736
MS4A7	1.4965845833333333
NTN4	1.49538294
RBMS3	1.495239097142857
IFI44L	1.49271195
ARHGEF6	1.4872565
ARHGAP6	1.48282566
STEAP1	1.4827249
RYR2	1.48104303
GRAMD1B	1.48043213
PDZRN4	1.47802305
PLXDC2	1.47511437
BAMBI	1.47357349
ADAMTS5	1.4735504075
CCL18	1.47280529
FST	1.4725049966666668
IGSF11	1.47105106
SERPINE1	1.4678736033333333
ECEL1	1.4664165
CLIP4	1.456268135
GPM6A	1.4541453433333333
SGK223	1.45413327
FBXO32	1.4512911314285715
ZBTB16	1.44865725
C4BPB	1.44386298
PTGER2	1.44342955
SNHG24	1.4425394
LRRK2	1.44120616
C1QA	1.43968061
CREG1	1.43535794
FKBP5	1.4335771866666667
SOD3	1.42978013
FCGR1B	1.4232008
SH3D19	1.4228985299999999
HLA-DRA	1.4223439500000001
ANGPT1	1.4215058533333333
CBX7	1.4192985
VIT	1.41630106
FXYD1	1.4145407
NTRK2	1.41114644
TBC1D4	1.410221215
FILIP1L	1.4080074366666666
LYZ	1.40665319
LPAR4	1.40158335
CD55	1.40114257
FGF7	1.4000806466666667
FMOD	1.39677551
JUNB	1.39470069
FOSB	1.39016027
PLCL1	1.3892414
CSDC2	1.38665645
ZDBF2	1.38628139
NEK7	1.38476365
NEFH	1.3840256100000001
HOXD8	1.38267328
DPP4	1.3800381333333334
GAS1	1.3759640366666668
HTRA4	1.37520106
NRP2	1.3716050145454546
DUBR	1.37071372
LBH	1.37003057
PCOLCE2	1.36657906
PPFIBP1	1.365216612
CCL26	1.36410086
CITED2	1.3640062333333334
CSGALNACT1	1.36333485
VSIG4	1.36138266
VGLL3	1.36000403
TYROBP	1.35482919
ROBO3	1.35340282
MPDZ	1.353328865
PPARG	1.34915491
C5AR1	1.34850705
CYS1	1.34806563
IL4R	1.34669501
MS4A4A	1.34610528
CTNNAL1	1.34606611
CPA3	1.34470158
EVI2B	1.34289876
COLEC12	1.34223051
IL7R	1.3406745450000002
EPS8	1.33988332
GATA6-AS1	1.33246816
RPP25	1.3308924100000001
KLF4	1.3223963749999998
C3orf70	1.321282375
NAP1L2	1.32036428
ANKRD6	1.3168444049999999
FRZB	1.315432795
MAN1C1	1.3134615699999999
NGF	1.31323748
SEMA3C	1.3031769
FOXP1	1.3028281575
KIAA0895	1.30255494
DCN	1.30077868
SGMS1	1.29546838
CDC42EP3	1.28871545
COL8A2	1.287063705
COL11A1	1.2858826966666668
GHR	1.28469929
INHA	1.28047675
CAV1	1.2797135800000001
ACTA2	1.27771146
SHISA2	1.27717916
GIMAP6	1.27474297
PCED1B	1.2728045
TNMD	1.27177292
SULF1	1.26981316
SMOC2	1.2691589749999999
ADGRF5	1.26856185
IGFBP3	1.26806573
CTSL	1.26741393
HSPA6	1.266801305
MYLK	1.265389138
C10orf54	1.2645076450000001
SERPINF1	1.26416961
RNASE6	1.26395771
EVI2A	1.26300957
HSD17B6	1.261407795
ADAMTS9-AS2	1.2603799
PEAR1	1.25805873
NDRG1	1.25546036
TSHZ1	1.25222272
NEGR1	1.2518993075
TMEM159	1.25163276
LEMD1-AS1	1.250295515
SUSD5	1.24975915
IRF2BPL	1.24920579
BOC	1.24696211
SYNPO2	1.245856767142857
TXLNB	1.24246719
CELF2	1.2407201657142857
RARRES3	1.24051099
GIMAP4	1.23914454
LHX9	1.2379542225
NFKBIZ	1.23708067
ZDHHC8P1	1.23644696
NR1H4	1.2348585666666667
TIMP2	1.2334246633333334
KAT2B	1.23225069
GATA4	1.231353172
NECTIN3	1.230414375
RPL23AP32	1.22898942
HS3ST1	1.2278528333333332
ITGBL1	1.227126776
RGN	1.22695848
KIAA1462	1.2235984766666668
TNFAIP3	1.22348802
FAM102B	1.22179436
DCLK1	1.2217457975000001
WDFY3-AS2	1.2215641
KIT	1.22001851
DNAJB4	1.21724885
DACT1	1.21480652
FAM46A	1.2132583866666666
C1QB	1.21199057
SEMA6D	1.21100317
PDZD2	1.2069547966666667
DAPK1	1.20673944
TPSB2	1.2065284
FTL	1.205776655
PODN	1.204499985
C8orf49	1.20432826
KLHL4	1.197511595
NSG1	1.1960437833333333
NRN1	1.19448367
MFAP5	1.1932361233333333
CLEC2B	1.192683455
TNFSF14	1.1910934549999999
CREBRF	1.190711778
SHE	1.189507785
RHOBTB3	1.1868446916666666
APOL3	1.18616152
SMIM3	1.18562266
ITGA11	1.1847624466666666
NPR1	1.1835395050000002
BEX2	1.18273664
MEF2C	1.1822107366666668
MXI1	1.17935244
HLA-DRB1	1.17892669
RASSF3	1.1786301933333334
ABI3BP	1.1774000199999999
OGN	1.17647619
TNS1	1.175794802
GLT8D2	1.17427318
WASF3	1.17351015
GEM	1.17110028
RFPL1S	1.16864295
MPEG1	1.1678244100000001
FHOD3	1.16415462
SNX29P2	1.16332959
CREBL2	1.16258832
FBXL13	1.16056323
CAV2	1.1604965666666667
NLGN4X	1.160400685
IGLC1	1.1585574388888888
ACKR1	1.15768146
MEG3	1.157326438
WBP1L	1.15637364
MARC2	1.1562095433333333
SBSPON	1.15105426
FN1	1.150197282857143
SLC4A3	1.14709563
EPYC	1.14612994
TRPC1	1.1457766033333334
IFIT1	1.14057351
SYNM	1.14000783
IGKC	1.13941417
WWC3	1.13851135
TCEAL3	1.13744117
ST6GALNAC5	1.1371023
NR4A3	1.13529551
ENO2	1.13485296
LRRC17	1.134113105
CCL11	1.13121522
CASP1	1.12970163
TSPAN5	1.1293960966666667
HLA-DPA1	1.1288360933333332
LRCH2	1.1285929
GPC3	1.1278683
NUPR1	1.12647259
SCARB1	1.1260757799999999
CXCL8	1.1249408
GIMAP8	1.1234347599999999
LVRN	1.12176376
RYR3	1.12060835
MIR99AHG	1.1202812066666668
PGM5P2	1.11944128
ASPN	1.118742995
DPYSL2	1.11536378
ADAMTS3	1.11534807
CPED1	1.11269013
IGFBP5	1.11166332
MCUB	1.11151204
TSPAN7	1.1109874
ARHGEF28	1.1105191666666667
SLC12A8	1.10747166
MYL9	1.107203945
C11orf96	1.106736855
RASSF9	1.10622673
FGG	1.10543437
APOC1	1.1030992400000001
APOE	1.1028416266666667
SRGN	1.0980487533333334
INSR	1.097588464
AASS	1.09684875
PLSCR1	1.0966453533333334
NCAM1	1.0948575042857143
RAPGEF4	1.09400655
PLPP3	1.09144338
GATSL2	1.09080818
XAF1	1.08995668
LAMB2	1.08610897
CYP39A1	1.08463774
PLTP	1.08285132
SELM	1.08277908
TRIL	1.082728425
RSAD2	1.082546785
C14orf28	1.0819808599999998
TPK1	1.081975615
IGFBP6	1.07984988
TFPI	1.078456228
PLS3	1.07624557
PDE2A	1.07276891
HEG1	1.07181776
IGHM	1.070342758
SNORD114-3	1.06743589
C3AR1	1.06678441
EPHX1	1.0657992
TSPAN4	1.064000865
IFI16	1.0611579833333333
C1QC	1.05976145
UBE2QL1	1.057873275
CHIT1	1.05541002
NTF3	1.05528088
LTC4S	1.05493012
CDKN1A	1.05446424
ACSS3	1.053574365
HSD17B11	1.05348832
SOD2	1.05127725
ZSWIM5	1.0491413
GPR34	1.04619002
HOXC4	1.04403804
BCL6	1.04371617
ELMO1	1.04313774
PGM1	1.04227835
CXCL12	1.041333375
DENND5B	1.04075444
TCEAL1	1.03994395
CCDC68	1.03679944
ANK2	1.0359040099999999
PLD1	1.0358515914285715
SVIL	1.035835925
STON1	1.03479887
PDE7B	1.03425536
SMCO4	1.0338769
AFAP1-AS1	1.033585655
GGT5	1.03267766
CTSF	1.03236932
DMD	1.0301792325
ACP5	1.0288829
JAM2	1.028479405
AHR	1.02740082
NR3C1	1.026246668
PTRF	1.02485337
NPTX2	1.02410785
ATP8B4	1.02239173
TLR5	1.02232991
SIPA1L2	1.0222288833333333
FAM162A	1.020954958
SORCS2	1.0200307
HSD3B2	1.01703893
CLSTN2	1.016505145
PLP1	1.01575113
GSTM3	1.0137190249999999
FAM150B	1.01319729
CD14	1.01305116
CDON	1.0129680133333332
PLA2G16	1.012529915
PHACTR2	1.012410748
DOK5	1.012253365
ASTN1	1.01167806
TVP23A	1.01121497
COL6A2	1.010925635
MX1	1.01083747
CRYAB	1.00997741
LAPTM5	1.006827535
GNG4	1.0047437225
RAB29	1.0041862133333332
SERPINI1	1.00002116
ITGA7	0.998350425
PRRT2	0.99762516
TSPAN18	0.9975067000000001
FOS	0.9969403
VAT1	0.99548849
IGLL5	0.99428942
KLHDC8B	0.99389614
C1orf198	0.99325079
BCL2A1	0.99221534
FBXL22	0.98888109
TMEM51	0.98815927
IGLV1-44	0.9880696233333333
FRY	0.984662495
TMEM140	0.98364223
LYSMD2	0.98183262
SGCD	0.9815740416666667
GMPR	0.9812027
OSMR	0.98011478
MAP3K8	0.9796057549999999
TPSAB1	0.975056848
ADGRL4	0.97233058000000006
SLC48A1	0.9690845433333333
SYNPO	0.9690035766666667
CHGB	0.96843951
TDRD10	0.96813862
FBXL7	0.96802039
PPP1R12B	0.967977324
ADH1C	0.96646226
NDNF	0.96525877
TSPAN2	0.9634691433333333
TMEM130	0.9632014
ANKDD1A	0.9605373100000001
AGTR1	0.9577009999999999
CMAHP	0.9575507225000001
PP12719	0.95704094
NPL	0.9562342899999999
RNASE1	0.954675535
GPIHBP1	0.95264447
LDLRAD3	0.95140927
SOWAHC	0.9493139049999999
ECHDC2	0.9491928700000001
