ID	logFC	Gene.symbol
228335_at	6.33341597	CLDN11
202992_at	6.30781131	C7
204971_at	3.97640759	CSTA
1562736_at	2.86623177	LHX9
228564_at	2.34491104	LINC01116
228504_at	5.10972211	SCN7A
208131_s_at	4.93387348	PTGIS
212190_at	4.11695958	SERPINE2
210002_at	4.94989481	GATA6
238878_at	4.67495259	ARX
219778_at	3.1586276	ZFPM2
203710_at	2.92672886	ITPR1
209560_s_at	5.9881404	DLK1
201431_s_at	3.51211831	DPYSL3
238512_at	3.54858736	WNT2B
215388_s_at	4.37610151	CFHR1///CFH
244455_at	3.03519061	KCNT2
204931_at	4.48175496	TCF21
202796_at	2.59160761	SYNPO
204591_at	4.76035035	CHL1
226769_at	3.6116899	FIBIN
216944_s_at	2.78416201	ITPR1
211323_s_at	2.12294222	ITPR1
213800_at	4.15884458	CFH
213438_at	3.5773798	NFASC
229849_at	3.3058675	WIPF3
37117_at	-2.33108422	PRR5-ARHGAP8///ARHGAP8
204223_at	3.48510329	PRELP
227971_at	3.86836229	NRK
201989_s_at	1.33990727	CREBL2
219121_s_at	-2.13027248	ESRP1
242699_at	2.49407982	
215506_s_at	4.57516036	DIRAS3
206584_at	2.82571673	LY96
229404_at	-1.99608087	TWIST2
225613_at	1.58316043	MAST4
234103_at	3.64417129	KCNT2
203868_s_at	3.89083273	VCAM1
240385_at	2.81245875	
242940_x_at	-3.80551655	DLX6
1552910_at	3.50361187	SIGLEC11
209047_at	1.77583417	AQP1
229942_at	2.80415511	BNC2
202525_at	-2.14691861	PRSS8
214238_at	-3.38849461	GDF7
235141_at	-2.16984961	MARVELD2
236123_at	2.46866843	WNT2B
242563_at	1.54584568	
203953_s_at	-3.53974551	CLDN3
210103_s_at	-2.15333495	FOXA2
207480_s_at	1.7839991	MEIS2
204114_at	2.02234089	NID2
201957_at	1.86685178	PPP1R12B
218186_at	-2.83067845	RAB25
224973_at	1.98280171	FAM46A
221796_at	3.95401082	NTRK2
219388_at	-2.08806942	GRHL2
235606_at	1.81687699	DUBR
203178_at	3.00274988	GATM
226582_at	2.5967351	LOC400043
202371_at	1.65290055	TCEAL4
226248_s_at	-3.56354769	KIAA1324
242828_at	2.41443619	FIGN
239185_at	2.47955987	ABCA9
205792_at	3.36296541	WISP2
226492_at	2.69113584	SEMA6D
204589_at	1.90731298	NUAK1
204688_at	2.67309556	SGCE
218763_at	-2.98513461	STX18
226803_at	-2.00048874	CHMP4C
205366_s_at	-2.89997657	HOXB6
212686_at	-2.87680834	PPM1H
221795_at	3.33325722	NTRK2
209621_s_at	3.21715493	PDLIM3
225611_at	1.37603265	MAST4
224345_x_at	1.04458406	FAM162A
