ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1764861_s_at	0.00034	1.04e-07	-26.2395799	7.38814	-7.26216197	Z2977///ECs2632	hypothetical protein///hypothetical protein
1767653_s_at	0.00034	1.15e-07	-25.8387888	7.33941	-7.42694017	yraR///ECs4033	hypothetical protein///hypothetical protein
1768320_at	0.00034	1.83e-07	-23.9829945	7.09175	-8.1720659	cbrC	UPF0167 family protein
1768188_at	0.00034	2.18e-07	-23.331645	6.99533	-8.0846356	c3657	hypothetical protein
1760191_x_at	0.00034	2.31e-07	-23.1111413	6.96146	-8.04500457	Z2374///ECs1530///ECs2743	holin protein of prophage CP-933R///holin///holin
1760318_s_at	0.00034	2.56e-07	-22.7423223	6.90336	-7.29340327	ydfB///Z1330///ydfB	hypothetical protein///hypothetical protein///Qin prophage; uncharacterized protein
1761252_s_at	0.00034	3.10e-07	-22.0509819	6.78935	-7.0269	Z3156///Z6016///Z5098///Z2130///Z2079///Z1929///Z4337///Z1570///Z1131///Z4314///Z0367///ECs2224///ECs3866///ECs4547///ECs0330///ECs1307///ECs1660///ECs2791///ECs1818///ECs1104	hypothetical protein///hypothetical protein///prophage-associated protein///prophage CP-933O IS protein///IS encoded protein within CP-933O///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1762514_at	0.00034	3.49e-07	-21.6347827	6.71731	-7.17114363	yjhF	putative transporter
1762680_at	0.00034	3.64e-07	-21.4919805	6.69198	-7.01196067	poxB	pyruvate dehydrogenase, thiamine triphosphate-binding, FAD-binding
1767296_s_at	0.00034	3.67e-07	-21.4657379	6.68729	-6.60474067	Z6071///ECs2277	hypothetical protein///hypothetical protein
1766220_at	0.00034	4.63e-07	-20.6822016	6.54211	-6.67114	fhuF	ferric iron reductase involved in ferric hydroximate transport
1759626_s_at	0.00034	5.09e-07	-20.3726136	6.48187	-7.81689113		
1765645_at	0.00034	5.66e-07	-20.0299048	6.41319	-6.57924257	iucC	IucC protein
1767148_at	0.00034	6.13e-07	19.7758091	6.36087	5.5749535	cyaA	adenylate cyclase
1767806_at	0.00034	6.48e-07	-19.6029143	6.32456	-6.38697277	yjjJ	putative protein kinase
1767395_s_at	0.00034	6.85e-07	-19.4296557	6.28759	-6.53563183	c5170	hypothetical protein
1759121_at	0.00034	7.85e-07	19.0099419	6.19554	5.24133967	c4753	hypothetical protein
1762484_at	0.00034	8.23e-07	18.8660881	6.16315	5.20070367	c4755	hypothetical protein
1765317_s_at	0.00034	8.67e-07	-18.7103011	6.12759	-6.49562743	ydfA///ydfB///Z1331///ydfA///ECs1065	hypothetical protein///hypothetical protein///hypothetical protein///Qin prophage; uncharacterized protein///hypothetical protein
1765944_at	0.00034	1.07e-06	-18.0890158	5.98043	-5.01791737	shiF	shiF protein
1760833_at	0.00034	1.07e-06	-18.0868353	5.9799	-4.94129257	c4561	hypothetical protein
1765342_at	0.00034	1.16e-06	-17.8689692	5.92619	-4.74521723	c3678	hypothetical protein
1760357_s_at	0.00034	1.17e-06	-17.8315612	5.91686	-4.9028935	Z6078///Z2039///ECs2284///ECs1761	inhibitor of cell division encoded by cryptic prophage CP-933P///regulator of cell division encoded by prophage CP-933O///inhibitor of cell division///DicB
1768394_s_at	0.00034	1.25e-06	-17.6339154	5.86698	-4.7794485	c3575///Z1573///Z1134///ECs1311	transposase insF///hypothetical protein///hypothetical protein///transposase
1763945_at	0.00034	1.30e-06	-17.5330427	5.84116	-4.82088383	rhaA	L-rhamnose isomerase
1762168_s_at	0.00034	1.32e-06	-17.4962274	5.83167	-6.25011353	emrB///emrB///ECs3548	multidrug resistance protein B///multidrug efflux system protein///multidrug resistance protein B
1763874_at	0.00034	1.33e-06	-17.4674895	5.82424	-4.61812767	c3681	hypothetical protein
1759412_at	0.00034	1.43e-06	17.2741348	5.77372	4.7456077	sfaD	minor F1C fimbrial subunit
1762715_s_at	0.00034	1.46e-06	17.2165013	5.75847	4.9328072	c0270///c1286	hypothetical protein///hypothetical protein
1760194_s_at	0.00034	1.53e-06	17.0814292	5.72241	4.72462343	wzxC///wzxC	colanic acid exporter///putative colanic acid exporter
1768994_at	0.00034	1.54e-06	-17.0664729	5.71839	-6.48635743	ECs2628	hypothetical protein
