ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1766794_s_at	0.00000773	1.02e-09	22.177199	12.4475	4.228	c1541///ssbW///Z3363///ECs2996///ECs1179	single-stranded DNA binding protein of prophage///single-stranded DNA binding protein///ssDNA-binding protein///single-stranded DNA binding protein///hypothetical protein
1766160_s_at	0.00001537	8.96e-09	17.680435	10.65388	3.26496	c1532///Z1433///Z0949///Z3369///ECs0806///ECs3005///ECs1171	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1767496_at	0.00001537	9.87e-09	17.502248	10.5698	2.81336	c1214	Cea protein
1767732_s_at	0.00001537	1.00e-08	17.470299	10.5546	3.43712	ECs5398///c1536///Z3366///betW///Z0952///ECs3001///ECs1175	hypothetical protein///recombination protein Bet of prophage///recombination protein Bet of prophage CP-933V///Bet recombination protein of bacteriophage BP-933W///Bet recombination protein of prophage CP-933K///hypothetical protein///recombination protein Bet
1765534_s_at	0.00001537	1.01e-08	17.459218	10.54932	3.14276	Z1434///Z0950///Z3368///ECs0807///ECs3004///ECs1172	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1764904_s_at	0.0000239	1.89e-08	16.352492	9.99858	3.30822	sulA///sulA///sulA///ECs1042	SOS cell division inhibitor///SOS cell division inhibitor///SOS cell division inhibitor///SOS cell division inhibitor
1760422_s_at	0.0000256	2.55e-08	15.842295	9.72814	3.50128		
1760050_s_at	0.0000256	2.69e-08	15.749762	9.6779	3.85646	gamW///gamW///Z3365///ECs1176	host-nuclease inhibitor protein Gam of bacteriphage///host-nuclease inhibitor protein Gam of bacteriphage BP-933W///host-nuclease inhibitor protein Gam of prophage CP-933V///hypothetical protein
1767227_s_at	0.00002836	3.36e-08	15.388171	9.47797	3.64994	c1540///kilW///Z3364///ECs2998///ECs2997///ECs1177///ECs1178	lambda regulatory protein CIII///Kil protein of bacteriphage BP-933W///host killing protein Kil of prophage CP-933V///Kil protein///regulatory protein cIII///Kil protein///regulatory protein cIII
1761004_at	0.00003073	4.04e-08	15.089194	9.30819	3.41762	c0943	hypothetical protein
1761763_s_at	0.00003313	4.79e-08	14.819326	9.15133	3.83778	recN///recN///recN///ECs3478	recombination and repair protein///recombination and repair protein///recombination and repair protein///recombination and repair protein
1763783_s_at	0.00004605	7.27e-08	14.178683	8.76467	1.91424	lexA///lexA///lexA///ECs5026	LexA repressor///LexA repressor///transcriptional repressor of SOS regulon///LexA repressor
1759873_s_at	0.00004895	8.40e-08	13.961735	8.62896	2.77232	yebG///yebG///yebG///ECs2558	DNA damage-inducible protein YebG///DNA damage-inducible protein YebG///DNA damage-inducible protein regulated by LexA///DNA damage-inducible protein YebG
1759585_s_at	0.00004895	9.23e-08	13.823155	8.54097	2.87346	c3165///c1578///Z1891///ECs1638	tail fiber component Z of prophage///tail fiber component Z of prophage///tail component of prophage CP-933X///minor tail protein
1764557_s_at	0.00004895	1.00e-07	13.700444	8.46218	2.86372	umuD///umuD///umuD///ECs1678	DNA polymerase V subunit UmuD///DNA polymerase V subunit UmuD///translesion error-prone DNA polymerase V subunit; RecA-activated auto-protease///DNA polymerase V subunit UmuD
1760117_at	0.00004895	1.03e-07	13.661885	8.43725	1.59406	yigN	DNA recombination protein RmuC
1767651_at	0.00005629	1.26e-07	13.372623	8.24761	2.92968	c1575	capsid protein of prophage
1765430_s_at	0.00006422	1.52e-07	13.105143	8.068	3.25654	c3163///c1580///Z1894	tail component of prophage///tail protein///tail component of prophage CP-933X
1761430_at	0.00006593	1.65e-07	12.992705	7.99124	1.42158	ydjQ	nucleotide excision repair endonuclease
1767559_s_at	0.00006736	1.83e-07	12.849233	7.8922	1.78252	recA///recA///recA///recA	recombinase A///recombinase A///DNA recombination and repair protein; ssDNA-dependent ATPase; synaptase; ssDNA and dsDNA binding protein; ATP-dependent homologous DNA strand exchanger; recombinase A; LexA autocleavage cofactor///recombinase A
1761154_s_at	0.00006736	1.92e-07	12.783448	7.84637	2.95028	c1534///Z3367///exoW///Z0951///exoD///ECs0809///ECs3002///ECs1174	exonuclease encoded by prophage///exonuclease of prophage CP-933V///exonuclease of bacteriophage BP-933W///exonuclease///pseudo///exonuclease///exonuclease///exonuclease
1765365_s_at	0.00006736	1.99e-07	12.734641	7.81219	3.4599	c1542	lambda ant-restriction protein
