ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1761154_s_at	0.000126	1.28e-08	-16.207251	9.7052	-4.607605	c1534///Z3367///exoW///Z0951///exoD///ECs0809///ECs3002///ECs1174	exonuclease encoded by prophage///exonuclease of prophage CP-933V///exonuclease of bacteriophage BP-933W///exonuclease///pseudo///exonuclease///exonuclease///exonuclease
1767732_s_at	0.000126	2.50e-08	-15.144655	9.202	-4.986757	ECs5398///c1536///Z3366///betW///Z0952///ECs3001///ECs1175	hypothetical protein///recombination protein Bet of prophage///recombination protein Bet of prophage CP-933V///Bet recombination protein of bacteriophage BP-933W///Bet recombination protein of prophage CP-933K///hypothetical protein///recombination protein Bet
1760178_at	0.000281	8.34e-08	-13.385525	8.244	-3.939272	c1531	hypothetical protein
1760050_s_at	0.000302	1.20e-07	-12.896965	7.9463	-4.07201	gamW///gamW///Z3365///ECs1176	host-nuclease inhibitor protein Gam of bacteriphage///host-nuclease inhibitor protein Gam of bacteriphage BP-933W///host-nuclease inhibitor protein Gam of prophage CP-933V///hypothetical protein
1768278_s_at	0.000327	1.75e-07	-12.400992	7.6283	-5.042403	c1534///Z3367///exoW///Z0951///ECs0809///ECs3002///ECs1174	exonuclease encoded by prophage///exonuclease of prophage CP-933V///exonuclease of bacteriophage BP-933W///exonuclease///exonuclease///exonuclease///exonuclease
1766160_s_at	0.000327	1.94e-07	-12.263988	7.5375	-5.167098	c1532///Z1433///Z0949///Z3369///ECs0806///ECs3005///ECs1171	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1767438_at	0.000411	2.84e-07	-11.786735	7.2109	-4.123913	c1522	hypothetical protein
1768119_s_at	0.000567	4.49e-07	-11.235953	6.8128	-3.291532	Z1867///ECs1610	integrase of prophage CP-933X///excisionase
1766992_at	0.000569	5.06e-07	-11.094228	6.7065	-2.884285	c1526	hypothetical protein
1759873_s_at	0.000832	8.91e-07	-10.449282	6.2017	-3.152857	yebG///yebG///yebG///ECs2558	DNA damage-inducible protein YebG///DNA damage-inducible protein YebG///DNA damage-inducible protein regulated by LexA///DNA damage-inducible protein YebG
1767181_s_at	0.000832	9.05e-07	-10.432528	6.1881	-4.328385	c1538///ECs1176	hypothetical protein///hypothetical protein
1765534_s_at	0.000979	1.17e-06	-10.149611	5.9547	-5.41094	Z1434///Z0950///Z3368///ECs0807///ECs3004///ECs1172	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1766330_at	0.000979	1.32e-06	-10.019252	5.8446	-3.185582	c1528	hypothetical protein
1767227_s_at	0.000979	1.36e-06	-9.987806	5.8179	-4.117545	c1540///kilW///Z3364///ECs2998///ECs2997///ECs1177///ECs1178	lambda regulatory protein CIII///Kil protein of bacteriphage BP-933W///host killing protein Kil of prophage CP-933V///Kil protein///regulatory protein cIII///Kil protein///regulatory protein cIII
1761439_x_at	0.000979	1.45e-06	-9.918537	5.7585	-3.26203	c1533	hypothetical protein
1768714_s_at	0.00101	1.76e-06	-9.716244	5.5827	-3.821872	c1524///c1523	hypothetical protein///hypothetical protein
1766794_s_at	0.00101	1.87e-06	-9.651213	5.5253	-4.545095	c1541///ssbW///Z3363///ECs2996///ECs1179	single-stranded DNA binding protein of prophage///single-stranded DNA binding protein///ssDNA-binding protein///single-stranded DNA binding protein///hypothetical protein
1764191_s_at	0.00101	1.87e-06	-9.650645	5.5248	-3.23161	c1519///Z1866///ECs1609	prophage lambda integrase///integrase of prophage CP-933X///intergrase
1767613_s_at	0.00101	1.90e-06	-9.638067	5.5136	-4.020074	c1535	hypothetical protein
1765122_at	0.001028	2.03e-06	-9.566132	5.4496	-3.28057	c1524	hypothetical protein
1761323_s_at	0.001064	2.28e-06	-9.449859	5.3449	-4.073732	c1549///Z1450///Z3356///Z0311///ECs2987	replication protein O of bacteriophage///replication protein O of bacteriophage BP-933W///DNA replication protein O of prophage CP-933V///hypothetical protein///phage replication protein O
1759072_s_at	0.001064	2.31e-06	-9.433897	5.3304	-3.541047	c1549///Z1868///Z1450///Z3356///Z0312///ECs2987///ECs1611	replication protein O of bacteriophage///replication protein O of prophage CP-933X///replication protein O of bacteriophage BP-933W///DNA replication protein O of prophage CP-933V///hypothetical protein///phage replication protein O///replication protein
1764886_s_at	0.001191	2.71e-06	-9.274087	5.1841	-3.492822	rzoR///rzoD///c1563///Z1877///rzpD///rzpR///ECs1623///ECs1624	Rac prophage; putative lipoprotein///DLP12 prophage; putative lipoprotein///Rz endopeptidase from lambdoid prophage DLP12///endopeptidase of prophage CP-933X///DLP12 prophage; putative murein endopeptidase///pseudo///endopeptidase///lipoprotein Rz1
1761763_s_at	0.001282	3.04e-06	-9.158119	5.0762	-3.57507	recN///recN///recN///ECs3478	recombination and repair protein///recombination and repair protein///recombination and repair protein///recombination and repair protein
1761515_at	0.001308	3.23e-06	-9.097508	5.0193	-3.989655	c1527	hypothetical protein
1761004_at	0.001341	3.45e-06	-9.032325	4.9576	-4.63249	c0943	hypothetical protein
1760949_s_at	0.001341	3.58e-06	-8.996666	4.9237	-3.599748	c1550///Z1869///Z1451///Z3355///ECs2986///ECs1612	replication protein P of bacteriophage///replication protein P of prophage CP-933X///replication protein P of bacteriophage BP-933W///DNA replication protein P of prophage CP-933V///phage replication protein P///replication protein P
1764970_x_at	0.001375	3.81e-06	-8.936879	4.8665	-5.34197	c1538	hypothetical protein
1767496_at	0.001825	5.35e-06	-8.609201	4.5459	-3.962943	c1214	Cea protein
1767857_s_at	0.001825	5.41e-06	-8.597789	4.5346	-2.438409		
1763112_at	0.001916	5.90e-06	-8.516167	4.4527	-3.224388	ECs1182	hypothetical protein
1767133_s_at	0.001916	6.12e-06	-8.482684	4.4189	-3.392879	ybcS///rrrD	lysozyme from lambdoid prophage DLP12///DLP12 prophage; putative lysozyme
1768350_at	0.001916	6.25e-06	-8.462052	4.3981	-3.215538	c1554	hypothetical protein
