ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1760422_s_at	2.35e-07	4.20e-11	-2.16e+01	15.38972	-2.426509		
1766794_s_at	2.35e-07	4.65e-11	-2.15e+01	15.3087	-2.354912	c1541///ssbW///Z3363///ECs2996///ECs1179	single-stranded DNA binding protein of prophage///single-stranded DNA binding protein///ssDNA-binding protein///single-stranded DNA binding protein///hypothetical protein
1768774_at	3.62e-07	1.29e-10	-1.97e+01	14.46783	-2.12011	c1548	regulatory protein CII of bacteriophage
1762849_s_at	3.62e-07	1.43e-10	-1.95e+01	14.37828	-2.306279	c1547///ECs1186	hypothetical protein///CRO
1761763_s_at	5.41e-07	3.02e-10	-1.83e+01	13.73916	-2.5525	recN///recN///recN///ECs3478	recombination and repair protein///recombination and repair protein///recombination and repair protein///recombination and repair protein
1761323_s_at	5.41e-07	3.21e-10	-1.82e+01	13.68732	-2.244649	c1549///Z1450///Z3356///Z0311///ECs2987	replication protein O of bacteriophage///replication protein O of bacteriophage BP-933W///DNA replication protein O of prophage CP-933V///hypothetical protein///phage replication protein O
1762696_s_at	5.64e-07	3.94e-10	-1.79e+01	13.51025	-3.281567	c3192	hypothetical protein
1762330_s_at	5.64e-07	4.46e-10	-1.77e+01	13.40049	-3.216077	yfdQ///yfdQ	hypothetical protein///CPS-53 (KpLE1) prophage; uncharacterized protein
1761004_at	7.63e-07	6.79e-10	-1.71e+01	13.03051	-1.778755	c0943	hypothetical protein
1767227_s_at	8.86e-07	1.01e-09	-1.65e+01	12.67796	-2.043188	c1540///kilW///Z3364///ECs2998///ECs2997///ECs1177///ECs1178	lambda regulatory protein CIII///Kil protein of bacteriphage BP-933W///host killing protein Kil of prophage CP-933V///Kil protein///regulatory protein cIII///Kil protein///regulatory protein cIII
1763947_s_at	8.86e-07	1.03e-09	-1.65e+01	12.6583	-1.641187	dinI///dinI///dinI///ECs1439	DNA damage-inducible protein I///DNA damage-inducible protein I///DNA damage-inducible protein I///DNA damage-inducible protein I
